Rata,main_intake,Age,Peso_kg,Sex,Sesión,Batch,main_intake_treat,Age_treat,Rid
6,0.808,62,0.202,Hembra,8,1,-0.520765851059199,-0.434365117138598,6
6,0.832,64,0.208,Hembra,9,1,-0.513835604629056,-0.286699151584158,6
6,1.98,67,0.22,Hembra,10,1,-0.182338817053842,-0.065200203252499,6
6,0.448,69,0.224,Hembra,11,1,-0.624719547511357,0.0824657623019405,6
6,0.45,71,0.225,Hembra,12,1,-0.624142026975511,0.23013172785638,6
6,0.23,74,0.23,Hembra,13,1,-0.687669285918497,0.451630676188039,6
6,0.458,76,0.229,Hembra,14,1,-0.62183194483213,0.599296641742479,6
6,0.944,78,0.236,Hembra,15,1,-0.481494454621718,0.746962607296918,6
6,0.956,81,0.239,Hembra,16,1,-0.478029331406646,0.968461555628577,6
6,0.729,83,0.243,Hembra,17,1,-0.543577912225089,1.11612752118302,6
6,0.729,85,0.243,Hembra,18,1,-0.543577912225089,1.26379348673746,6
6,1.24,88,0.248,Hembra,19,1,-0.39602141531661,1.48529243506912,6
6,0.744,90,0.248,Hembra,20,1,-0.53924650820625,1.63295840062356,6
7,1.288,46,0.161,Hembra,1,1,-0.382160922456323,-1.61569284157411,7
7,0.795,48,0.159,Hembra,2,1,-0.524519734542194,-1.46802687601967,7
7,0.492,50,0.164,Hembra,3,1,-0.61201409572276,-1.32036091046523,7
7,0.176,53,0.176,Hembra,4,1,-0.70326234038632,-1.09886196213358,7
7,1.086,55,0.181,Hembra,5,1,-0.4404904965767,-0.951195996579136,7
7,2.068,57,0.188,Hembra,6,1,-0.156927913476648,-0.803530031024697,7
7,0.995,60,0.199,Hembra,7,1,-0.466767680957662,-0.582031082693037,7
7,0.402,62,0.201,Hembra,8,1,-0.638002519835799,-0.434365117138598,7
7,2.07,64,0.207,Hembra,9,1,-0.156350392940803,-0.286699151584158,7
7,0.224,67,0.224,Hembra,10,1,-0.689401847526033,-0.065200203252499,7
7,2.398,69,0.218,Hembra,11,1,-0.0616370250621707,0.0824657623019405,7
7,0.221,71,0.221,Hembra,12,1,-0.690268128329801,0.23013172785638,7
7,1.824,74,0.228,Hembra,13,1,-0.227385418849777,0.451630676188039,7
7,0.687,76,0.229,Hembra,14,1,-0.555705843477841,0.599296641742479,7
7,1.872,78,0.234,Hembra,15,1,-0.21352492598949,0.746962607296918,7
7,0.708,81,0.236,Hembra,16,1,-0.549641877851465,0.968461555628577,7
7,1.482,83,0.247,Hembra,17,1,-0.326141430479327,1.11612752118302,7
7,1.715,85,0.245,Hembra,18,1,-0.258860288053347,1.26379348673746,7
7,0.762,88,0.254,Hembra,19,1,-0.534048823383642,1.48529243506912,7
7,1.255,90,0.251,Hembra,20,1,-0.391690011297771,1.63295840062356,7
8,0.356,46,0.178,Hembra,1,1,-0.651285492160242,-1.61569284157411,8
8,1.892,48,0.172,Hembra,2,1,-0.207749720631036,-1.46802687601967,8
8,0.543,50,0.181,Hembra,3,1,-0.597287322058704,-1.32036091046523,8
8,0.193,53,0.193,Hembra,4,1,-0.698353415831635,-1.09886196213358,8
8,0.404,55,0.202,Hembra,5,1,-0.637424999299954,-0.951195996579136,8
8,0.213,57,0.213,Hembra,6,1,-0.692578210473182,-0.803530031024697,8
8,0.404,60,0.202,Hembra,7,1,-0.637424999299954,-0.582031082693037,8
8,0.232,62,0.232,Hembra,8,1,-0.687091765382651,-0.434365117138598,8
8,0.726,64,0.242,Hembra,9,1,-0.544444193028857,-0.286699151584158,8
8,0.506,67,0.253,Hembra,10,1,-0.607971451971843,-0.065200203252499,8
8,0.494,69,0.247,Hembra,11,1,-0.611436575186914,0.0824657623019405,8
8,1.494,71,0.249,Hembra,12,1,-0.322676307264255,0.23013172785638,8
8,1.29,74,0.258,Hembra,13,1,-0.381583401920477,0.451630676188039,8
8,1.31,76,0.262,Hembra,14,1,-0.375808196562024,0.599296641742479,8
8,1.08,78,0.27,Hembra,15,1,-0.442223058184236,0.746962607296918,8
8,0.564,81,0.282,Hembra,16,1,-0.591223356432328,0.968461555628577,8
8,1.686,83,0.281,Hembra,17,1,-0.267234335823104,1.11612752118302,8
8,1.988,85,0.284,Hembra,18,1,-0.180028734910461,1.26379348673746,8
8,1.752,88,0.292,Hembra,19,1,-0.248176158140209,1.48529243506912,8
8,1.728,90,0.288,Hembra,20,1,-0.255106404570353,1.63295840062356,8
9,0.812,46,0.203,Macho,1,1,-0.519610809987509,-1.61569284157411,9
9,0.43,48,0.215,Macho,2,1,-0.629917232333965,-1.46802687601967,9
9,0.44,50,0.22,Macho,3,1,-0.627029629654738,-1.32036091046523,9
9,0.5,53,0.25,Macho,4,1,-0.609704013579379,-1.09886196213358,9
9,1.35,55,0.27,Macho,5,1,-0.364257785845118,-0.951195996579136,9
9,1.395,57,0.279,Macho,6,1,-0.351263573788598,-0.803530031024697,9
9,1.856,60,0.232,Macho,7,1,-0.218145090276252,-0.582031082693037,9
9,1.575,62,0.315,Macho,8,1,-0.29928672556252,-0.434365117138598,9
9,1.332,64,0.333,Macho,9,1,-0.369455470667726,-0.286699151584158,9
9,3.033,67,0.337,Macho,10,1,0.121725745068718,-0.065200203252499,9
9,2.124,69,0.354,Macho,11,1,-0.140757338472979,0.0824657623019405,9
9,1.071,71,0.357,Macho,12,1,-0.44482190059554,0.23013172785638,9
9,1.84,74,0.368,Macho,13,1,-0.222765254563015,0.451630676188039,9
9,1.9,76,0.38,Macho,14,1,-0.205439638487655,0.599296641742479,9
9,2.702,78,0.386,Macho,15,1,0.0261460963863178,0.746962607296918,9
9,1.188,81,0.396,Macho,16,1,-0.411036949248589,0.968461555628577,9
9,2.05,83,0.41,Macho,17,1,-0.162125598299256,1.11612752118302,9
9,0.413,85,0.413,Macho,18,1,-0.63482615688865,1.26379348673746,9
9,11.76,88,0.42,Macho,19,1,2.64173660322977,1.48529243506912,9
9,1.284,90,0.428,Macho,20,1,-0.383315963528013,1.63295840062356,9
12,0.579,46,0.193,Macho,1,1,-0.586891952413488,-1.61569284157411,12
12,0.585,48,0.195,Macho,2,1,-0.585159390805952,-1.46802687601967,12
12,0.627,50,0.209,Macho,3,1,-0.573031459553201,-1.32036091046523,12
12,0.696,53,0.232,Macho,4,1,-0.553107001066537,-1.09886196213358,12
12,0.747,55,0.249,Macho,5,1,-0.538380227402482,-0.951195996579136,12
12,0.262,57,0.262,Macho,6,1,-0.678428957344971,-0.803530031024697,12
12,0.624,60,0.312,Macho,7,1,-0.573897740356969,-0.582031082693037,12
12,0.592,62,0.296,Macho,8,1,-0.583138068930494,-0.434365117138598,12
12,1.224,64,0.306,Macho,9,1,-0.400641579603373,-0.286699151584158,12
12,0.963,67,0.321,Macho,10,1,-0.476008009531187,-0.065200203252499,12
12,2.656,69,0.332,Macho,11,1,0.0128631240618755,0.0824657623019405,12
12,0.996,71,0.332,Macho,12,1,-0.466478920689739,0.23013172785638,12
12,1.352,74,0.338,Macho,13,1,-0.363680265309273,0.451630676188039,12
12,0.7,76,0.35,Macho,14,1,-0.551951959994847,0.599296641742479,12
12,2.118,78,0.353,Macho,15,1,-0.142489900080515,0.746962607296918,12
12,0.756,81,0.378,Macho,16,1,-0.535781384991178,0.968461555628577,12
12,3.75,83,0.375,Macho,17,1,0.328766857169265,1.11612752118302,12
12,3.402,85,0.378,Macho,18,1,0.22827828393218,1.26379348673746,12
12,5.07,88,0.39,Macho,19,1,0.709930410827176,1.48529243506912,12
12,3.16,90,0.395,Macho,20,1,0.158398299094896,1.63295840062356,12
13,0.84,46,0.21,Macho,1,1,-0.511525522485674,-1.61569284157411,13
13,0.222,48,0.222,Macho,2,1,-0.689979368061878,-1.46802687601967,13
13,0.478,50,0.239,Macho,3,1,-0.616056739473677,-1.32036091046523,13
13,0.416,53,0.208,Macho,4,1,-0.633959876084882,-1.09886196213358,13
13,0.57,55,0.285,Macho,5,1,-0.589490794824792,-0.951195996579136,13
13,0.903,57,0.301,Macho,6,1,-0.493333625606547,-0.803530031024697,13
13,0.849,60,0.283,Macho,7,1,-0.50892668007437,-0.582031082693037,13
13,0.339,62,0.339,Macho,8,1,-0.656194416714927,-0.434365117138598,13
13,0.702,64,0.351,Macho,9,1,-0.551374439459001,-0.286699151584158,13
13,3.267,67,0.363,Macho,10,1,0.18929564776262,-0.065200203252499,13
13,0.774,69,0.387,Macho,11,1,-0.53058370016857,0.0824657623019405,13
13,3.072,71,0.384,Macho,12,1,0.132987395517702,0.23013172785638,13
13,2.412,74,0.402,Macho,13,1,-0.0575943813112535,0.451630676188039,13
13,0.852,76,0.426,Macho,14,1,-0.508060399270602,0.599296641742479,13
13,4.675,78,0.425,Macho,15,1,0.595870104997725,0.746962607296918,13
13,2.225,81,0.445,Macho,16,1,-0.111592551412791,0.968461555628577,13
13,4.4,83,0.44,Macho,17,1,0.516461031318994,1.11612752118302,13
13,4.57,85,0.457,Macho,18,1,0.565550276865846,1.26379348673746,13
13,0.468,88,0.468,Macho,19,1,-0.618944342152904,1.48529243506912,13
13,8.683,90,0.457,Macho,20,1,1.75322125883174,1.63295840062356,13
14,0.17,46,0.17,Macho,1,1,-0.704994901993856,-1.61569284157411,14
14,0.18,48,0.18,Macho,2,1,-0.70210729931463,-1.46802687601967,14
14,0.196,50,0.196,Macho,3,1,-0.697487135027867,-1.32036091046523,14
14,0.216,53,0.216,Macho,4,1,-0.691711929669414,-1.09886196213358,14
14,0,55,0.235,Macho,5,1,-0.754084147540708,-0.951195996579136,14
14,1.19,57,0.238,Macho,6,1,-0.410459428712743,-0.803530031024697,14
14,0.656,60,0.328,Macho,7,1,-0.564657411783444,-0.582031082693037,14
14,0.55,62,0.275,Macho,8,1,-0.595266000183245,-0.434365117138598,14
14,0.584,64,0.292,Macho,9,1,-0.585448151073875,-0.286699151584158,14
14,0.3,67,0.3,Macho,10,1,-0.66745606716391,-0.065200203252499,14
14,0.628,69,0.314,Macho,11,1,-0.572742699285278,0.0824657623019405,14
14,0.63,71,0.315,Macho,12,1,-0.572165178749433,0.23013172785638,14
14,1.005,74,0.335,Macho,13,1,-0.463880078278435,0.451630676188039,14
14,0.332,76,0.332,Macho,14,1,-0.658215738590385,0.599296641742479,14
14,0.347,78,0.347,Macho,15,1,-0.653884334571545,0.746962607296918,14
14,0.73,81,0.365,Macho,16,1,-0.543289151957167,0.968461555628577,14
14,0.356,83,0.356,Macho,17,1,-0.651285492160242,1.11612752118302,14
14,0,85,0.372,Macho,18,1,-0.754084147540708,1.26379348673746,14
14,0.766,88,0.383,Macho,19,1,-0.532893782311951,1.48529243506912,14
14,0.385,90,0.385,Macho,20,1,-0.642911444390484,1.63295840062356,14
16,0.66,46,0.22,Macho,1,1,-0.563502370711753,-1.61569284157411,16
16,0.696,48,0.232,Macho,2,1,-0.553107001066537,-1.46802687601967,16
16,0,50,0.249,Macho,3,1,-0.754084147540708,-1.32036091046523,16
16,1.37,53,0.274,Macho,4,1,-0.358482580486665,-1.09886196213358,16
16,1.465,55,0.293,Macho,5,1,-0.331050355034012,-0.951195996579136,16
16,2.99,57,0.299,Macho,6,1,0.109309053548044,-0.803530031024697,16
16,3.19,60,0.29,Macho,7,1,0.167061107132576,-0.582031082693037,16
16,2.68,62,0.335,Macho,8,1,0.0197933704920193,-0.434365117138598,16
16,2.4,64,0.341,Macho,9,1,-0.0610595045263254,-0.286699151584158,16
16,2.13,67,0.355,Macho,10,1,-0.139024776865443,-0.065200203252499,16
16,2.202,69,0.367,Macho,11,1,-0.118234037575012,0.0824657623019405,16
16,0.714,71,0.357,Macho,12,1,-0.547909316243929,0.23013172785638,16
16,2.25,74,0.375,Macho,13,1,-0.104373544714724,0.451630676188039,16
16,0.391,76,0.391,Macho,14,1,-0.641178882782948,0.599296641742479,16
16,0.393,78,0.393,Macho,15,1,-0.640601362247103,0.746962607296918,16
16,1.206,81,0.402,Macho,16,1,-0.405839264425981,0.968461555628577,16
16,1.7,83,0.425,Macho,17,1,-0.263191692072187,1.11612752118302,16
16,0.421,85,0.421,Macho,18,1,-0.632516074745269,1.26379348673746,16
16,3.4,88,0.425,Macho,19,1,0.227700763396334,1.48529243506912,16
16,0.844,90,0.422,Macho,20,1,-0.510370481413984,1.63295840062356,16
17,1.384,47,0.173,Hembra,1,2,-0.354439936735748,-1.54185985879689,17
17,NA,49,0.188,Hembra,2,2,NA,-1.39419389324245,17
17,NA,50,0.188,Hembra,2,2,NA,-1.32036091046523,17
